"question","answer","option","explanation","image","categoryID","courseID","yearID"
"The most important function of commerce is in","A","enhancing business relationships |  helping people to improve their profits | assisting trade through banking and insurance | facilitating exchange among individuals and firms","",,"577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"The three main classifications of occupation are","D","manufacturing industry and services | construction, trade and services |  farming, banking and trading | industry, commerce and services","",,"577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"An oil exploration company is engaged in","D","constructive occupation|  secondary production |  tertiary production|  extractive occupation","",,"577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"Services rendered to the public is provided by","C","civil servants | professionals| government| domestic servants","",,"577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"A carpenter on top of a roof 20.0m high dropped a hammer of mass 1.5kg and it fell freely to the ground. The kinetic energy of the hammer just before hitting the ground is. [g =10ms-2]","A"," 300J |   150J |   450J |   600J","",,"577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"The creation of goods and services to satisfy human wants is referred to as","C","commercialization| manufacturing | production | entrepreneurship.","",,"577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"Two balls X and Y weighing 5g and 50kg respectively were thrown up vertically at the same time with a velocity of 100ms-1. How will their positions be one second later?","D"," X and Y will be 500m from each other |   Y will be 500m ahead of X |   X will be 500m ahead of Y |   X and Y will both be 500m from the point of throw","",,"577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"Which of the following is a limitation of division of labour","A"," monotony of work | decline in craftsmanship | reduction in output | reduction in labourforce.","",,"577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"Resource obtained from the extractive sectors that are transformed into finished products are examples of","D"," tertiary production |  primary production | direct production | secondary production.","",,"577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"A man standing on a lift that is descending does not feel any weight because","D"," the inside of the lift is air tight |   the lift is in vacuum |   there is no reaction from the floor of the lift |   there is no gravitational pull on the man","",,"577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"From the diagram above,what does 1 stand for?","B","publicity | Aids to trade | Home trade | advertising.","",,"577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"In the M The diagram above shows two vectors at right angles to each other. The value of the resultant vector is","B","14.0N B.   10.0N C.   12.0N |   13.0N","",,"577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"An object of mass 2kg moves with a velocity of 10ms-1 round a circle of radius 4m. Calculate the centripetal force on the object.","C"," 25N |   100N |   50N |   40N","",,"577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"If it takes an object 3s to fall freely to the ground from a certain height, what is the distance covered by the object?[g ≅ 10ms-2]","C"," 90m |   30m |   45m |   60m","",,"577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"An individual that links the producer with the retailer is","A","a wholesaler | an agent | an entrepreneur | a principal.","",,"577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"The diagrams above show the positions of a cone. The position which can be described as neutral equilibrium is represented as","A","Z only |   X only |   Y and Z |   Y and X","",,"577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"If a tube of small radius opened at both ends is placed in a liquid, the liquid will","A","fall below the liquid level if the liquid does not wet the glass |   fall below the liquid level if the liquid wets the glass |   remain at the same level irrespective of whether the liquid wets the glass or not |  rise above the liquid level if the liquid does not wet the glass","",,"577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"sdsds","sdf","drrr","dfddss",,"577a259ef34c0a3b8f0b1af1","577a25bbf34c0a3b8f0b1af2","577a2642f34c0a3b8f0b1afc"
"I. Density of the liquid. II. Depth below the surface of the liquid. III. Surface area of the liquid. In which of the statements above will pressure be dependent?","A"," I and II only |   II and III only |   I, II and III |   I and III only","",,"577a259ef34c0a3b8f0b1af1","577a25bbf34c0a3b8f0b1af2","577a2652f34c0a3b8f0b1afd"
"I. High thermal capacity. II. High sensitivity. III. Easy readability. IV. Accuracy over a wide range of temperatures. From the statements above, the qualities of a good thermometer are","D"," I and II |   I, II, III and IV |   I, III and IV |   II, III and IV","",,"577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"A machine is used to lift a load of 20N through a height of 10m. If the efficiency of the machine is 40%, how much work is done?","D"," 120 J |   80 J |   300 J |   500 J","",,"577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"One of the functions of retailer is the","D","provision of credit facilities to relations | financing of production activities | provision ofjob for customers | breaking of bulks.","",,"577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"The main aim of selling directly to the consumers by manufacturers is to","C","make contact with individual consumers|  reduce transportation cost |  discourage the activities of middlemen | maximize profit margin.","",,"577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"Balance of payment problem arise if a country's","A","imports is more than exports|  exports is more than imports | currency is devaluated |   invisible.","",,"577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"The three components of a country balance of payment are","B"," capital account, trade account and business record | current account, capital account and monetary movement account | sales account, profit and loss account and capital account | monetary movement account, trade account and sales ","",,"577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"Which of the following could be effectively used to reduce friction?","B"," Kerosene |   Grease |   Water |   Petrol","",,"577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"The three components of a country balance of payment are","B"," capital account, trade account and business record | current account, capital account and monetary movement account | sales account, profit and loss account and capital account | monetary movement account, trade account and sales ledger","",,"577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"A copper wire was subjected to a tensile stress of 7.7 x 107Nm-2. Calculate the tensile strain of the wire. [Young modulus =1.1 x 1011Nm-2]",""," 2.0 x 10-5 |   7.0 x 10-3 |   7.0 x10-4 |   2.2 x 10-4","",,"577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"A document that indicates obligation that is transferable by delivery and endorsement is","A"," bill of exchange | bill of lading | documentary evidence |  negotiable instrument.","",,"577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"The document which can be exchange for a bill of ladlng is","A","mate receipt | freight note | export invoice | ship report.","",,"577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"An object weighs 22kg in water and 30kg in air. What is the upthrust exerted by the liquid on the object? [g ≅ 10ms-2]","D"," 50N |   520N |   220N |   80N","",,"577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"A block of aluminium is heated electrically by a 30 W heater. If the temperature rises by 10oC in 5 minutes, the heat capacity of the aluminium is","","900JK-1 |   90JK-1 |   10OJK-1 |   200JK-1","",,"577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"The price quoted which includes the cost of insurance, freight and all delivery charges to the importer's warehouse is.","A","Franco|  Free Alongside Ship | Free on Board |  Free on Rail.","",,"577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"The purchase of goods under the CWO system of payment implies that","B","payment must be made on delivery | money must be enclosed when ordering | payment must be made within few days| cash must be paid on the spot.","",,"577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"The most effective but limited medium of advertising in Nigeria is","B"," television | billboard | newspaper | radio.","",,"577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"A perfect emitter or absorber of radiant energy is a","B"," conductor |   black body |   white body |   red body","",,"577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"A cheque that has been drawn but not presented for payment can still be honoured","B"," after 9 months| within 6 months | within 9 months | after 6 months.","",,"577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"The major source of income to commercial banks is","A","deposits |  loans |  Interests | overdraft.","",,"577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"An ancillary to trade that easily links suppliers with consumers is","D"," banking | tourism |  communication | transportation.","",,"577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"The phenomenon that shows that increase in pressure lowers the melting point can be observed in","D"," sublimation |   condensation |   coagulation |   regelation","",,"577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"Mr. Lawal insured his warehouse against burglary but it was later gutted by. This implies that","D","Mr. Law is liable only for half of the estimated loss | The loss should be borne by the insurer | the insurer should make a consolation payment for the loss | the loss should be borne by Mr. Lawal.","",,"577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"The agreement of insurers to Spread risks among themselves is a major feature of","B"," life assurance|  reinsurance| underwrriter | marine insurance.","",,"577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"If the volume of a gas increases steadily as the temperature decreases at constant pressure, the gas obeys","A","Charles' law |   pressure law |   Graham's law |   Boyle's law","",,"577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"Inbound tourism occurs when","D","residents of a country travel to other countries | non-residents of a country travel to other countries | non-residents of a country travel within it | residents of a country travels within it.","",,"577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"One of the major disadvantages of pipeline transportation is its","B"," limitation in scope |  high cost of construction | vulnerability to climatic changes| high maintenance cost.","",,"577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"Steam burn is more severe than that of boiling water because","B"," steam burn is independent of relative humidity |   steam possesses greater heat energy per unit mass |   water boils at a higher temperature |   steam burn is dependent on relative humidity","",,"577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"Which of the following types of waves needs a medium for propagation?","A","Sound waves |   Light waves |   Radio waves |   X-rays","",,"577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"The ground is always cold at night because the","A"," atmosphere absorbs the sun's energy at night |   earth radiates heat to the atmosphere at night |   sun no longer shines at night |   atmosphere reflects the sun's energy at night","",,"577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"A metal of volume 40cm3 is heated from 30oC to 90oC, the increase in volume is . [Linear expansivity of the metal = 2.0 x 10-5K-1]",""," 0.12cm3 |   4.00cm3 |   1.20cm3 |   0.40cm3","",,"577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"ddff","dddd","sdd","dddds","http://google,com/jpg","577a259ef34c0a3b8f0b1af1","577a25bbf34c0a3b8f0b1af2","577a2642f34c0a3b8f0b1afc"
"I. Change of state ll. Diffusion lll. Radiation IV. Osmosis Which of the processes above can be explained using the kinetic theory?","D"," I, ll, Ill and IV |   I, ll and III |   I, III and IV |   I, II and IV","","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"When the human eye loses its power of accommodation, the defect is known as","C"," short-sightedness |   presbyopia |   astigmatism |  long-sightedness","","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"The business organization that can effectively combine management with control is","C","private limited liability company | sole proprietorship| public limited liability company|  co-operative society.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"When two or more companies agree to execute a project too large for one to handle, this is referred to as","D","a cartel | an amalgamation | a merger | a consortium.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"A length of wire has a frequency of 255 Hz when stretched by a force of 225 N, If the force increases to 324 N, what is the new frequency of vibration?","D"," 488 Hz |   356Hz |   512 Hz |   306 Hz","","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"A certain far sighted person cannot see objects that are closer to the eye than 50cm clearly. Determine the power of the converging lens which will enable him to see at 25cm.","A"," 0.06D |   0.02D |   0.030 |   0.04D","","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
"In the event of voluntary liquidation, the appointment of a liquidator is the responsibility of the","A","creditors | directors |  promoters | court.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"A source of business financing which involves pledging of a specific asset is","D"," mortgage |  bond | debentures | loan .","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"An example of trade association is","C"," NLC |  ALGON|  NURTW | NULGE.","","","577a259ef34c0a3b8f0b1af1","577a25e3f34c0a3b8f0b1af5","577a2652f34c0a3b8f0b1afd"
"Which of the following electromagnetic waves has the highest frequency?","C"," Ultra-violent rays |   Radio waves |   X-rays |   Infrared-rays","","","577a259ef34c0a3b8f0b1af1","577a2624f34c0a3b8f0b1afb","577a2652f34c0a3b8f0b1afd"
